권역,지자체명,ctpvCd,sggCd,예상건수,비고
전남,목포시,46,110,953,
전남,여수시,46,130,966,
전남,순천시,46,150,891,
전남,나주시,46,170,957,
전남,광양시,46,230,800,20260430 수집 당시 799건에서 1건 증가
전남,담양군,46,710,704,
전남,곡성군,46,720,585,
전남,구례군,46,730,564,
전남,고흥군,46,770,660,
전남,보성군,46,780,663,
전남,화순군,46,790,638,
전남,장흥군,46,800,626,
전남,강진군,46,810,645,
전남,해남군,46,820,730,
전남,영암군,46,830,682,
전남,무안군,46,840,770,
전남,함평군,46,860,683,
전남,영광군,46,870,671,
전남,장성군,46,880,583,
전남,완도군,46,890,710,
전남,진도군,46,900,626,
전남,신안군,46,910,727,
광주,광주광역시 동구,29,110,704,
광주,광주광역시 서구,29,140,783,
광주,광주광역시 남구,29,150,851,ELIS 조회 기준 150 사용
광주,광주광역시 북구,29,170,766,
광주,광주광역시 광산구,29,200,764,
